Name,age,country,category,image,marital_status,Education,net_worth,Degree
Mary-Kate and Ashley Olsen,34,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/05/Mary-Kate-And-Ashley-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,Campbell Hall School and New York University ,$500 Million,Graduate
Jennifer Aniston,52,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/03/Jennifer-Aniston-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Justin Theroux),Fiorello H. LaGuardia High School,$300 Million,high school
Julia Roberts,53,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2021/03/Julia-Roberts-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Daniel Moder),Smyrna's Campbell High School,$250 Million,high school
Julia Louis Dreyfus,60,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/03/JULIAAA.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Brad Hall),"Holton-Arms School, Northwestern University",$250 Million,Graduate
Sasha Alexander,46,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/09/936full-sasha-alexander.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Edoardo Ponti), University of Southern California's School of Cinema-Television,$215 Million,Graduate
Victoria Principal,71,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/10/Victoria+Principal+Actress+Victoria+Principal+VL5ppNUtzDKx.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Harry Glassman),"Miami Dade Community College, Royal Academy of Dramatic Art in London",$200 Million,Graduate
Tracey Ullman and Allan McKeown,61,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/11/Tracey-Ullman-and-Allan-McKeown.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Tracey Ullman - Widowed (Allan McKeown),Tracey Ullman - Italia Conti Academy and Allan McKeown - Beal Grammar school in Ilford,$199.56 Million,Graduate
Catherine Deneuve,77,France,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/cd1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (David Bailey),,$185 Million,
Krysten Ritter,39,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/09/936full-krysten-ritter.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,,$185 Million,
Xuxa Meneghel,58,Brazil,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/05/xuxa-meneghel.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,,$160 Million,
