Name,age,country,category,image,marital_status,Education,net_worth,Degree,first_name,Gender
Mary-Kate and Ashley Olsen,34.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/05/Mary-Kate-And-Ashley-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,Campbell Hall School and New York University ,500,Post Graduate,Mary-Kate,others
Jennifer Aniston,52.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/03/Jennifer-Aniston-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Fiorello H. LaGuardia High School,300,high school,Jennifer,female
Julia Roberts,53.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/2021/03/Julia-Roberts-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Smyrna's Campbell High School,250,high school,Julia,female
Julia Louis Dreyfus,60.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/03/JULIAAA.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Holton-Arms School, Northwestern University",250,Post Graduate,Julia,female
Sasha Alexander,46.0,United states,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/09/936full-sasha-alexander.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married, University of Southern California's School of Cinema-Television,215,Post Graduate,Sasha,male
Victoria Principal,71.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/10/Victoria+Principal+Actress+Victoria+Principal+VL5ppNUtzDKx.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Miami Dade Community College, Royal Academy of Dramatic Art in London",200,Graduate,Victoria,female
Tracey Ullman and Allan McKeown,61.0,United kingdom,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/11/Tracey-Ullman-and-Allan-McKeown.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Tracey Ullman - Italia Conti Academy and Allan McKeown - Beal Grammar school in Ilford,199.56,Graduate,Tracey,female
Catherine Deneuve,77.0,France,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/cd1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Ecole Polytechnique (Bachelor of Arts & Science),185,Graduate,Catherine,female
Krysten Ritter,39.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/09/936full-krysten-ritter.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,185,Post Graduate,Krysten,female
Xuxa Meneghel,58.0,Brazil,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/05/xuxa-meneghel.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"The University of Texas at Austin, Universidade Federal do Rio de Janeiro",160,Post Graduate,Xuxa,others
